Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
27/12/2025,Parma,Fiorentina,1,0,H,13,23,2,4,3.5,3.0,2.25,2025-26,Serie A,I1
27/12/2025,Lecce,Como,0,3,A,11,12,5,6,4.75,3.3,1.8,2025-26,Serie A,I1
27/12/2025,Torino,Cagliari,1,2,A,19,9,10,4,1.91,3.2,4.2,2025-26,Serie A,I1
27/12/2025,Udinese,Lazio,1,1,D,15,14,4,2,3.1,3.0,2.45,2025-26,Serie A,I1
27/12/2025,Pisa,Juventus,0,2,A,8,15,0,7,7.5,4.5,1.4,2025-26,Serie A,I1
28/12/2025,Milan,Verona,3,0,H,11,9,5,1,1.38,4.75,8.5,2025-26,Serie A,I1
28/12/2025,Cremonese,Napoli,0,2,A,6,22,2,8,6.25,3.9,1.55,2025-26,Serie A,I1
28/12/2025,Bologna,Sassuolo,1,1,D,16,8,6,5,1.75,3.6,4.75,2025-26,Serie A,I1
28/12/2025,Atalanta,Inter,0,1,A,7,15,0,4,3.5,3.5,2.0,2025-26,Serie A,I1
29/12/2025,Roma,Genoa,3,1,H,16,10,8,2,1.6,3.6,6.25,2025-26,Serie A,I1
02/01/2026,Cagliari,Milan,0,1,A,6,11,1,4,6.0,3.9,1.6,2025-26,Serie A,I1
03/01/2026,Como,Udinese,1,0,H,15,4,3,1,1.73,3.8,4.75,2025-26,Serie A,I1
03/01/2026,Genoa,Pisa,1,1,D,12,10,4,2,1.9,3.1,4.75,2025-26,Serie A,I1
03/01/2026,Sassuolo,Parma,1,1,D,11,16,3,5,1.91,3.3,4.33,2025-26,Serie A,I1
03/01/2026,Juventus,Lecce,1,1,D,25,6,5,1,1.27,5.5,13.0,2025-26,Serie A,I1
03/01/2026,Atalanta,Roma,1,0,H,13,10,2,4,2.3,3.2,3.3,2025-26,Serie A,I1
04/01/2026,Lazio,Napoli,0,2,A,5,14,0,3,3.4,3.1,2.3,2025-26,Serie A,I1
04/01/2026,Fiorentina,Cremonese,1,0,H,22,6,8,2,1.8,3.4,5.0,2025-26,Serie A,I1
04/01/2026,Verona,Torino,0,3,A,7,21,3,5,2.7,3.0,2.9,2025-26,Serie A,I1
04/01/2026,Inter,Bologna,3,1,H,19,6,10,2,1.42,4.75,7.5,2025-26,Serie A,I1
17/08/2024,Genoa,Inter,2,2,D,10,14,6,9,6.5,4.0,1.53,2024-25,Serie A,I1
17/08/2024,Parma,Fiorentina,1,1,D,13,14,5,7,3.5,3.2,2.2,2024-25,Serie A,I1
17/08/2024,Empoli,Monza,0,0,D,9,4,1,1,2.5,3.2,3.0,2024-25,Serie A,I1
17/08/2024,Milan,Torino,2,2,D,20,6,6,3,1.62,3.8,5.75,2024-25,Serie A,I1
18/08/2024,Bologna,Udinese,1,1,D,22,4,7,2,1.91,3.4,4.33,2024-25,Serie A,I1
18/08/2024,Verona,Napoli,3,0,H,8,15,5,5,4.75,3.6,1.75,2024-25,Serie A,I1
18/08/2024,Cagliari,Roma,0,0,D,12,13,2,3,4.1,3.4,1.95,2024-25,Serie A,I1
18/08/2024,Lazio,Venezia,3,1,H,13,11,6,3,1.48,4.1,7.5,2024-25,Serie A,I1
19/08/2024,Lecce,Atalanta,0,4,A,19,10,5,6,4.2,3.7,1.85,2024-25,Serie A,I1
19/08/2024,Juventus,Como,3,0,H,12,1,9,1,1.33,5.0,9.5,2024-25,Serie A,I1
24/08/2024,Parma,Milan,2,1,H,8,17,5,5,4.75,3.9,1.7,2024-25,Serie A,I1
24/08/2024,Udinese,Lazio,2,1,H,8,17,3,5,3.3,3.1,2.35,2024-25,Serie A,I1
24/08/2024,Inter,Lecce,2,0,H,11,10,3,4,1.2,7.0,13.0,2024-25,Serie A,I1
24/08/2024,Monza,Genoa,0,1,A,9,11,2,1,2.6,3.1,2.88,2024-25,Serie A,I1
25/08/2024,Fiorentina,Venezia,0,0,D,12,7,8,4,1.42,4.75,7.0,2024-25,Serie A,I1
25/08/2024,Torino,Atalanta,2,1,H,13,24,6,8,3.2,3.1,2.38,2024-25,Serie A,I1
25/08/2024,Napoli,Bologna,3,0,H,16,9,5,2,1.9,3.5,4.1,2024-25,Serie A,I1
25/08/2024,Roma,Empoli,1,2,A,17,10,6,3,1.5,4.33,6.5,2024-25,Serie A,I1
26/08/2024,Cagliari,Como,1,1,D,11,13,5,4,2.1,3.4,3.4,2024-25,Serie A,I1
