Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,HomeShots,AwayShots,HomeShotsTarget,AwayShotsTarget,OddsHome,OddsDraw,OddsAway,Season,League,LeagueCode
25/08/2024,Marseille,Reims,2,2,D,16,12,10,3,1.53,4.5,5.5,2024-25,Ligue 1,F1
30/08/2024,Lyon,Strasbourg,4,3,H,22,14,13,7,1.85,3.75,4.0,2024-25,Ligue 1,F1
31/08/2024,Brest,St Etienne,4,0,H,17,3,7,0,1.8,3.8,4.33,2024-25,Ligue 1,F1
31/08/2024,Montpellier,Nantes,1,3,A,11,10,5,5,2.25,3.4,3.2,2024-25,Ligue 1,F1
31/08/2024,Toulouse,Marseille,1,3,A,4,11,2,5,3.8,3.8,1.9,2024-25,Ligue 1,F1
01/09/2024,Monaco,Lens,1,1,D,14,12,3,4,1.85,3.9,3.9,2024-25,Ligue 1,F1
01/09/2024,Angers,Nice,1,4,A,12,12,7,9,4.0,3.3,2.0,2024-25,Ligue 1,F1
01/09/2024,Le Havre,Auxerre,3,1,H,21,7,8,2,2.75,3.3,2.6,2024-25,Ligue 1,F1
01/09/2024,Reims,Rennes,2,1,H,11,13,7,5,2.9,3.5,2.38,2024-25,Ligue 1,F1
01/09/2024,Lille,Paris SG,1,3,A,10,10,4,7,3.9,3.8,1.85,2024-25,Ligue 1,F1
13/09/2024,St Etienne,Lille,1,0,H,10,17,5,4,5.5,3.6,1.7,2024-25,Ligue 1,F1
14/09/2024,Marseille,Nice,2,0,H,10,12,5,4,1.7,3.9,4.5,2024-25,Ligue 1,F1
14/09/2024,Auxerre,Monaco,0,3,A,13,19,3,9,3.9,3.75,1.85,2024-25,Ligue 1,F1
14/09/2024,Paris SG,Brest,3,1,H,22,5,9,3,1.27,6.0,10.0,2024-25,Ligue 1,F1
15/09/2024,Rennes,Montpellier,3,0,H,11,12,6,4,1.62,4.0,5.25,2024-25,Ligue 1,F1
15/09/2024,Nantes,Reims,1,2,A,18,11,6,4,2.38,3.4,3.0,2024-25,Ligue 1,F1
15/09/2024,Strasbourg,Angers,1,1,D,10,12,5,2,1.7,3.8,5.25,2024-25,Ligue 1,F1
15/09/2024,Toulouse,Le Havre,2,0,H,15,5,7,3,1.8,3.6,4.5,2024-25,Ligue 1,F1
15/09/2024,Lens,Lyon,0,0,D,12,8,5,3,1.8,3.75,4.33,2024-25,Ligue 1,F1
20/09/2024,Nice,St Etienne,8,0,H,18,8,12,2,1.53,4.1,6.5,2024-25,Ligue 1,F1
21/09/2024,Lille,Strasbourg,3,3,D,15,12,7,9,1.7,4.0,4.75,2024-25,Ligue 1,F1
21/09/2024,Rennes,Lens,1,1,D,11,10,6,2,2.35,3.4,3.0,2024-25,Ligue 1,F1
21/09/2024,Reims,Paris SG,1,1,D,8,11,1,4,6.5,4.75,1.44,2024-25,Ligue 1,F1
22/09/2024,Monaco,Le Havre,3,1,H,14,9,4,2,1.36,4.75,8.5,2024-25,Ligue 1,F1
22/09/2024,Angers,Nantes,1,1,D,4,9,1,3,3.2,3.3,2.3,2024-25,Ligue 1,F1
22/09/2024,Brest,Toulouse,2,0,H,9,10,5,1,2.15,3.5,3.4,2024-25,Ligue 1,F1
22/09/2024,Montpellier,Auxerre,3,2,H,14,11,5,6,2.3,3.3,3.2,2024-25,Ligue 1,F1
22/09/2024,Lyon,Marseille,2,3,A,18,6,9,5,2.9,3.8,2.2,2024-25,Ligue 1,F1
27/09/2024,Auxerre,Brest,3,0,H,15,8,4,4,2.75,3.4,2.55,2024-25,Ligue 1,F1
27/09/2024,Paris SG,Rennes,3,1,H,22,13,7,5,1.38,5.25,7.5,2024-25,Ligue 1,F1
28/09/2024,Lens,Nice,0,0,D,22,15,7,4,2.05,3.4,3.75,2024-25,Ligue 1,F1
28/09/2024,Le Havre,Lille,0,3,A,7,18,4,10,4.75,3.7,1.75,2024-25,Ligue 1,F1
28/09/2024,Monaco,Montpellier,2,1,H,21,9,7,4,1.33,5.5,7.5,2024-25,Ligue 1,F1
29/09/2024,Toulouse,Lyon,1,2,A,10,4,4,1,2.45,3.4,2.88,2024-25,Ligue 1,F1
29/09/2024,Angers,Reims,1,3,A,14,21,3,10,3.6,3.2,2.2,2024-25,Ligue 1,F1
29/09/2024,Nantes,St Etienne,2,2,D,16,5,3,3,1.73,3.8,4.75,2024-25,Ligue 1,F1
29/09/2024,Strasbourg,Marseille,1,0,H,14,10,6,3,3.4,3.9,2.0,2024-25,Ligue 1,F1
04/10/2024,Marseille,Angers,1,1,D,13,8,4,3,1.25,6.0,12.0,2024-25,Ligue 1,F1
05/10/2024,St Etienne,Auxerre,3,1,H,13,11,5,3,2.7,3.4,2.6,2024-25,Ligue 1,F1
05/10/2024,Lille,Toulouse,2,1,H,10,9,3,3,1.73,4.1,4.5,2024-25,Ligue 1,F1
05/10/2024,Rennes,Monaco,1,2,A,14,5,3,2,2.7,3.5,2.55,2024-25,Ligue 1,F1
06/10/2024,Lyon,Nantes,2,0,H,17,11,6,6,1.75,3.6,4.75,2024-25,Ligue 1,F1
06/10/2024,Brest,Le Havre,2,0,H,8,14,3,0,1.8,3.6,4.5,2024-25,Ligue 1,F1
06/10/2024,Reims,Montpellier,4,2,H,18,10,5,3,1.8,3.8,4.33,2024-25,Ligue 1,F1
